time,phi,phidot,theta,thetadot,x_ball,y_ball
0.8603855027523767,1.1951688658981714,4.266258874391683,-0.00011962983024234226,-0.02989512189759798,0.1834593172181191,0.46512651831978546
0.8605272894669801,1.1957737957686405,4.266378998764311,-0.00012358377312506025,-0.02523032254795161,0.18317894485349503,0.46523700757952025
0.8606459977279058,1.1962801877904665,4.265151223342944,-0.0001262076178784474,-0.01861682911711942,0.18294401278677813,0.46532943943434746
0.8607466110380706,1.196709235294211,4.263404965575921,-0.0001277352509086821,-0.011572410266284042,0.18274474565594595,0.46540773191907747
0.8608349141590262,1.1970856264536704,4.261538890952238,-0.00012845734991831983,-0.0047092381782602175,0.182569745582576,0.46547640861963563
0.8609089038352608,1.1974008748984661,4.259872967184671,-0.00012858568704945397,0.0012509526057106922,0.18242302925568588,0.4655339272047394
0.8609828463505956,1.197715799473775,4.2582323169593925,-0.0001282737670336747,0.0071590510812866055,0.18227633081219302,0.46559138545732115
0.8610618453553865,1.1980521308592815,4.256629862476377,-0.00012746802487223485,0.013166025686299874,0.1821195174048083,0.46565274656052114
0.8611502527036811,1.198428380647541,4.255173559890713,-0.0001260306740988187,0.01920349297510887,0.18194392791230368,0.46572138249967077
0.8612461333512115,1.1988363160307702,4.2541744366071335,-0.0001239208824089747,0.02457123769794885,0.18175337823014268,0.4657957798821039
0.8613489264933012,1.1992735965624854,4.253957127257678,-0.00012117182864391113,0.028589044630894112,0.18154896024730827,0.46587549208846823
0.8614592345520583,1.1997428809583712,4.254863860449133,-0.00011788521575003539,0.03058134817925274,0.18132945458059058,0.46596097266343567
0.8615796759058872,1.2002554735580897,4.257291049648611,-0.00011421626401334738,0.02983254006435313,0.18108962508075266,0.46605423169897153
0.8617214717899794,1.2008594519180897,4.262010232133064,-0.00011027125921831907,0.025163261192762108,0.18080707556708908,0.46616392039264076
0.8618400864816212,1.2013652914555673,4.267287314521516,-0.00010765728910770187,0.018552927877620057,0.18057056580047892,0.46625558447330717
0.8619406292855525,1.201794592495088,4.272466852857222,-0.0001061369339111901,0.011513105534199757,0.1803699881317069,0.4663332142228783
0.8620288484858296,1.202171719727775,4.277345963155822,-0.00010542046108618786,0.0046566552225941055,0.1801939212263588,0.4664012758006552
0.862102701974148,1.2024877710929174,4.281533825702292,-0.00010529583369065782,-0.0012924762548069766,0.1800464729150832,0.46645821560764256
0.8621765081761975,1.2028039289272219,4.285696218758512,-0.00010560985785746793,-0.007190375388309149,0.17989907153681836,0.4665150837573623
0.8622555680715581,1.2031429274150762,4.290006051678748,-0.00010641895170831133,-0.013203849001283689,0.1797411246932088,0.466575961014282
0.8623440197626934,1.2035225873053088,4.29449240695701,-0.00010786062607383997,-0.019247156496855208,0.17956434829774198,0.466644022895138
0.8624399358548894,1.2039347093023898,4.298778724349124,-0.00010997565231214273,-0.024620430950576755,0.17937257156486536,0.4667177732047251
0.862542758884211,1.204376923423455,4.302521572272058,-0.0001127308338526564,-0.028643405528114327,0.17916688505146272,0.46679677218049437
0.8626530927093496,1.2048518072171177,4.305399706787448,-0.00011602447523965426,-0.030640326368527496,0.17894605175355036,0.4668814728949696
0.8627735545396928,1.2053705614870005,4.307106942713814,-0.00011970140329979196,-0.029895445485658458,0.1787047924468142,0.46697387108264427
0.8629153412550882,1.205981285267394,4.307258007098491,-0.00012365539425469765,-0.02523067788910321,0.1784206012994166,0.46708252813614237
0.8630340500311596,1.2064925337220245,4.306056149239536,-0.0001262792925695965,-0.018617181816150623,0.1781824692142921,0.46717342249147265
0.8631346637525072,1.206925699681485,4.304331867945856,-0.00012780696688963973,-0.011572753338712393,0.17798048860356605,0.4672504089567213
0.8632229673808463,1.2073057078494158,4.30248508687397,-0.00012852909935811673,-0.0047095587204544756,0.17780310576183822,0.46731793734440497
0.8632969579060006,1.2076239901397137,4.30083532769241,-0.00012865745973298794,0.0012506842099045462,0.17765439132990796,0.4673744924806563
0.8633709012712694,1.2079419478272588,4.299210841594633,-0.00012834555421908144,0.007158828608487648,0.17750569539634067,0.4674309864430797
0.8634498998693536,1.2082815154108668,4.297625695781917,-0.00012753983620353106,0.013165741494595602,0.17734674982653748,0.4674913147042977
0.8635383069131242,1.2086613890799995,4.296188770067003,-0.00012610251811976528,0.01920314974119274,0.17716877306469925,0.46755879295677405
0.8636341873115676,1.2090732569659477,4.295210670238352,-0.00012399276755998222,0.024570838030963993,0.1769756331145642,0.46763193254593727
0.863736980240541,1.20951475598454,4.295015909105173,-0.00012124376328813363,0.02858859362541614,0.17676843683566007,0.46771029370022865
0.8638472881155415,1.2099885700406192,4.2959468483108365,-0.00011795720810090213,0.03058085426139329,0.176545948345948,0.46779432154049655
0.8639677293298529,1.2105061117236622,4.298400477984382,-0.0001142883221652244,0.02983201452253185,0.17630286036389933,0.4678859910521999
0.8641095253362927,1.211115921965962,4.30315081275548,-0.00011034339063593697,0.02516270692993123,0.17601647207694698,0.4679938042405738
0.8642281392803853,1.2116266397059223,4.308453927616913,-0.00010772950075905786,0.01855241349677542,0.175776751235372,0.46808389526903227
0.8643286815386273,1.2120600785092406,4.313655538104041,-0.00010620920302244591,0.011512643831738872,0.1755734504378768,0.4681601892584056
0.8644169001068762,1.2124408375009796,4.318554011823611,-0.00010549277308599545,0.0046562621605543645,0.175394993663688,0.46822707686782206
0.8644907525948882,1.2127599285000725,4.322758064007123,-0.00010536817278683043,-0.0012927713912394244,0.17524554501675854,0.46828303222289436
